channel,mean_lung,mean_non_lung,selectivity_index,gini_sparsity,region_preference
105,0.301103,0.373504,0.1073,0.7604,non_lung
106,0.029077,0.519565,0.894,0.7593,non_lung
107,0.312944,0.260503,0.0914,0.6373,lung
108,1.016741,0.158734,0.7299,0.756,lung
109,1.111575,0.133825,0.7851,0.7177,lung
110,0.598169,0.318777,0.3047,0.7081,lung
111,0.057413,0.390799,0.7438,0.7973,non_lung
112,1.145561,0.083758,0.8637,0.7614,lung
113,0.124817,0.418472,0.5405,0.7186,non_lung
114,0.846507,0.212853,0.5981,0.7396,lung
115,0.789821,0.302336,0.4464,0.7043,lung
116,0.14979,0.617269,0.6094,0.7023,non_lung
117,1.260344,0.10407,0.8475,0.7526,lung
118,0.364275,0.267864,0.1525,0.8246,lung
119,0.131331,0.6732,0.6735,0.6612,non_lung
120,0.115096,0.553287,0.6556,0.6845,non_lung
121,0.022233,0.31159,0.8668,0.7935,non_lung
122,1.242527,0.087574,0.8683,0.7539,lung
123,0.014584,0.330094,0.9154,0.8047,non_lung
124,0.314287,0.390133,0.1077,0.7206,non_lung
125,0.094638,0.622311,0.736,0.6776,non_lung
126,0.119826,0.542969,0.6384,0.6682,non_lung
127,0.684179,0.229512,0.4976,0.6211,lung
