channel,iou,dice,delta_iou,delta_dice
0,0.8501774072647095,0.9174068172772726,-0.0005022088686624793,-0.00031336148579907963
1,0.8508153160413107,0.9178036053975424,0.00013569990793871334,8.342663447069576e-05
2,0.8509913881619772,0.9179118871688843,0.00031177202860521724,0.0001917084058126184
3,0.8509925405184428,0.9179096619288126,0.0003129243850708008,0.0001894831657409668
4,0.8518886168797811,0.918448269367218,0.0012090007464091723,0.0007280906041463586
5,0.8509748975435892,0.9178992907206217,0.00029528141021728516,0.00017911195755004883
6,0.8515799244244894,0.9182575941085815,0.0009003082911174243,0.000537415345509884
7,0.8506509065628052,0.9177058339118958,-2.8709570566776144e-05,-1.4344851175907003e-05
8,0.8508369525273641,0.9178050756454468,0.00015733639399218013,8.489688237511839e-05
9,0.8491769830385844,0.9168272018432617,-0.0015026330947875977,-0.0008929769198099402
10,0.8522722721099854,0.9186773498853048,0.0015926559766133996,0.0009571711222331469
11,0.8508495887120565,0.9178107579549154,0.00016997257868456295,9.057919184374263e-05
12,0.8511863549550375,0.91802579164505,0.00050673882166552,0.00030561288197838987
13,0.8508173227310181,0.9177978038787842,0.00013770659764611448,7.762511571252073e-05
14,0.8507382472356161,0.917755663394928,5.863110224413326e-05,3.548463185631956e-05
15,0.8517154256502787,0.9183431267738342,0.0010358095169067383,0.0006229480107625696
16,0.8557846546173096,0.9206573764483134,0.005105038483937618,0.0029371976852416992
17,0.8508313099543253,0.917811910311381,0.00015169382095336914,9.173154830932617e-05
18,0.8483190337816874,0.9163056413332621,-0.0023605823516845703,-0.0014145374298095703
19,0.851367712020874,0.9181424180666605,0.0006880958875020715,0.0004222393035888672
20,0.8502716819445292,0.9174655278523763,-0.00040793418884277344,-0.00025465091069531987
21,0.8482802510261536,0.9162760376930237,-0.0023993651072183875,-0.0014441410700479773
22,0.8482786615689596,0.9162444074948629,-0.002400954564412361,-0.0014757712682087476
23,0.850749651590983,0.9177649815877279,7.003545761108398e-05,4.4802824656242635e-05
24,0.8507682879765829,0.9177743991216024,8.867184321093013e-05,5.4220358530754353e-05
25,0.8457936644554138,0.9147547483444214,-0.0048859516779581336,-0.0029654304186502722
26,0.8507871627807617,0.9177901347478231,0.00010754664738976683,6.995598475145748e-05
27,0.8520963788032532,0.9185481667518616,0.001416762669881222,0.0008279879887899133
28,0.8507562478383383,0.9177692333857218,7.663170496630123e-05,4.9054622650146484e-05
29,0.8523329496383667,0.9187206029891968,0.0016533335049947473,0.0010004242261251184
30,0.851154625415802,0.9180018107096354,0.00047500928243005003,0.0002816319465637207
31,0.8506359457969666,0.9176961779594421,-4.367033640539919e-05,-2.4000803629520284e-05
32,0.847626248995463,0.9158930778503418,-0.0030533671379089355,-0.001827100912729862
33,0.8510027329126993,0.9179102977116903,0.0003231167793273926,0.00019011894861864498
34,0.8513122995694479,0.9180958271026611,0.0006326834360759204,0.00037564833958947386
35,0.8495956857999166,0.9170767267545065,-0.0010839303334553296,-0.0006434520085651929
36,0.8517713149388632,0.9183773994445801,0.0010916988054912036,0.0006572206815084192
37,0.8495288292566935,0.9170448382695516,-0.0011507868766784668,-0.0006753404935200269
38,0.8524278799692789,0.918770452340444,0.0017482638359069824,0.001050273577372307
39,0.8513479232788086,0.9181277354558309,0.0006683071454366418,0.00040755669275927
40,0.8488118648529053,0.9165895382563273,-0.0018677512804666785,-0.0011306405067443848
41,0.8509373466173807,0.9178746938705444,0.00025773048400878906,0.00015451510747277464
42,0.8512822190920512,0.9180861711502075,0.0006026029586791992,0.0003659923871358606
43,0.8510830402374268,0.9179641803105673,0.0004034241040548059,0.0002440015474955981
44,0.8512149651845297,0.9180273413658142,0.0005353490511577075,0.00030716260274255003
45,0.8520647883415222,0.9185259739557902,0.0013851722081502649,0.0008057951927185059
46,0.8509787718454996,0.9179028868675232,0.00029915571212768555,0.0001827081044515344
47,0.8509414593378702,0.9178825815518697,0.000261843204498291,0.00016240278879808834
48,0.8511213858922323,0.9179883201917013,0.0004417697588603442,0.0002681414286296313
49,0.8485812147458395,0.916460116704305,-0.002098401387532478,-0.001260062058766609
50,0.8506659269332886,0.9177147150039673,-1.3689200083377706e-05,-5.4637591043738e-06
51,0.8503841956456503,0.917527973651886,-0.00029542048772168705,-0.00019220511118567263
52,0.8518677353858948,0.9184364080429077,0.0011881192525228235,0.0007162292798360559
53,0.8520645101865133,0.9185556570688883,0.00138489405314135,0.0008354783058166504
54,0.8509974877039591,0.9179024497667948,0.0003178715705871582,0.00018227100372314453
55,0.8486788272857666,0.9165108998616537,-0.0020007888476053504,-0.0012092789014179761
56,0.8512810071309408,0.9180745085080465,0.0006013909975688403,0.00035432974497484615
57,0.8506757815678915,0.9177179535230001,-3.834565480476115e-06,-2.2252400715405685e-06
58,0.8516484498977661,0.9183164040247599,0.0009688337643941614,0.0005962252616882324
59,0.8509891033172607,0.9179093241691589,0.00030948718388879026,0.0001891454060872766
60,0.8533713022867838,0.9193511009216309,0.0026916861534118652,0.0016309221585592004
61,0.8519863883654276,0.9184821049372355,0.001306772232055664,0.0007619261741638184
62,0.8521742820739746,0.9186100165049235,0.0014946659406026575,0.0008898377418518066
63,0.850878914197286,0.9178430239359537,0.00019929806391405513,0.00012284517288208008
64,0.8474300106366476,0.9157647093137106,-0.0032496054967243726,-0.0019554694493610913
65,0.8506237665812174,0.9176866809527079,-5.5849552154541016e-05,-3.349781036376953e-05
66,0.8516698082288107,0.9183156689008077,0.0009901920954387133,0.0005954901377360766
67,0.8511189619700114,0.917987326780955,0.0004393458366394043,0.0002671480178833008
68,0.8514927426973978,0.9181942542394003,0.0008131265640258789,0.0004740754763286059
69,0.8509990572929382,0.917908509572347,0.0003194411595662805,0.00018833080927538326
70,0.8475607633590698,0.9158533414204916,-0.0031188527743021277,-0.0018668373425800855
71,0.8506789207458496,0.9177197813987732,-6.953875223425499e-07,-3.9736429846559673e-07
72,0.8524611790974935,0.918755312760671,0.0017815629641215747,0.0010351339975993579
73,0.851421574751536,0.9181714057922363,0.0007419586181640625,0.00045122702916466917
74,0.8506759206453959,0.9177191058794657,-3.6954879760742188e-06,-1.0728836059570312e-06
75,0.8504438996315002,0.9175811012585958,-0.00023571650187170778,-0.00013907750447583744
76,0.8513952096303304,0.9181485374768575,0.0007155934969584887,0.0004283587137858813
77,0.8460886478424072,0.914939820766449,-0.004590968290964725,-0.0027803579966226843
78,0.8530772725741068,0.9191419879595438,0.0023976564407348633,0.001421809196472168
79,0.8507733146349589,0.9177749951680502,9.369850158691406e-05,5.481640497850826e-05
80,0.8507611751556396,0.9177706241607666,8.155902226769651e-05,5.0445397694942606e-05
81,0.8488742311795553,0.9166315793991089,-0.0018053849538166578,-0.0010885993639627722
82,0.851353128751119,0.9181333184242249,0.000673512617747063,0.00041313966115319456
83,0.852623720963796,0.9188551505406698,0.001944104830424065,0.0011349717775981372
84,0.8460713426272074,0.9149373769760132,-0.004608273506164551,-0.0027828017870584754
85,0.8480956157048544,0.9161735773086548,-0.0025840004285175855,-0.0015466014544168738
86,0.8509066502253214,0.9178646206855774,0.0002270340919494629,0.00014444192250573362
87,0.8513863881429037,0.9181208610534668,0.0007067720095317309,0.0004006822903951379
88,0.851746122042338,0.9183640281359354,0.0010665059089660645,0.0006438493728637695
89,0.8497997919718424,0.9171945850054423,-0.000879824161529541,-0.0005255937576293945
90,0.8515321811040243,0.91821817557017,0.0008525649706523364,0.0004979968070983887
91,0.8512707153956095,0.9180698196093241,0.0005910992622375488,0.0003496408462524414
92,0.8514793515205383,0.9182005524635315,0.0007997353871663782,0.0004803737004598352
93,0.8469041983286539,0.9154282013575236,-0.0037754178047180176,-0.0022919774055480957
94,0.8515128691991171,0.9182205398877462,0.0008332530657451098,0.0005003611246745532
95,0.8499362667401632,0.9172904094060262,-0.0007433493932087476,-0.0004297693570454175
96,0.8506201903025309,0.9176863630612692,-5.942583084106445e-05,-3.38157018024976e-05
97,0.8509217699368795,0.9178640643755595,0.000242153803507561,0.00014388561248779297
98,0.8506657878557841,0.9177153507868449,-1.3828277587890625e-05,-4.827976226806641e-06
99,0.8507933417956034,0.9177884260813395,0.00011372566223144531,6.824731826782227e-05
100,0.8509089152018229,0.9178553422292074,0.00022929906845092773,0.00013516346613573482
101,0.851648728052775,0.918287972609202,0.0009691119194030762,0.0005677938461303711
102,0.8498380978902181,0.9172139962514242,-0.000841518243153816,-0.0005061825116474683
103,0.8524208466211954,0.9187667965888977,0.0017412304878234863,0.0010466178258260461
104,0.8509988586107889,0.9179063240687052,0.0003192424774169922,0.00018614530563354492
105,0.8541466395060221,0.9197181463241577,0.0034670233726501465,0.001997967561086056
106,0.8511239091555277,0.9179877241452535,0.0004442930221557617,0.0002675453821818774
107,0.8508853713671366,0.9178452293078104,0.00020575523376464844,0.00012505054473876953
108,0.8480960329373678,0.9161537488301595,-0.0025835831960041578,-0.0015664299329121167
109,0.849821666876475,0.9172020554542542,-0.0008579492568969727,-0.0005181233088175086
110,0.8502342104911804,0.9174473285675049,-0.000445405642191532,-0.00027285019556677614
111,0.8509054382642111,0.9178593357404073,0.00022582213083910396,0.000139156977335686
112,0.8507564465204874,0.9177648226420084,7.683038711547852e-05,4.464387893676758e-05
113,0.8505037824312845,0.9176168441772461,-0.00017583370208740234,-0.0001033345858255652
114,0.8504237532615662,0.9175599018732706,-0.0002558628718057898,-0.0001602768898010254
115,0.8478777408599854,0.9160261352856954,-0.0028018752733866004,-0.001694043477376228
116,0.8507909973462423,0.9177698095639547,0.00011138121287035396,4.9630800883049275e-05
117,0.8456351359685262,0.9146913488705953,-0.0050444801648457105,-0.0030288298924763257
118,0.8537055452664694,0.9194694956143697,0.0030259291330974047,0.0017493168512980883
119,0.8517363866170248,0.9183669090270996,0.0010567704836528247,0.0006467302640279504
120,0.8511989514032999,0.9180282354354858,0.0005193352699279785,0.0003080566724141809
121,0.8506555159886678,0.9177077412605286,-2.4100144704108928e-05,-1.2437502543094503e-05
122,0.848353366057078,0.9163310130437216,-0.0023262500762939453,-0.001389165719350105
123,0.85074516137441,0.9177608092625936,6.554524103807857e-05,4.063049952196529e-05
124,0.8509682416915894,0.9178992708524069,0.00028862555821740354,0.0001790920893351977
125,0.8516093095143636,0.918266773223877,0.0009296933809916919,0.0005465944608052942
126,0.8523294727007548,0.9186783035596212,0.0016498565673828125,0.0009581247965495532
127,0.8505569895108541,0.9176433483759562,-0.00012262662251782963,-7.683038711547852e-05
